scheduling_type,resolution,iterations,threads,execution_time_ms,speedup,efficiency_percent,run_type
dynamic,1000,3000,8,5070.967,7.625,90.0,specific
dynamic,1000,3000,4,9798.273,3.946,90.0,specific
dynamic,1000,3000,2,19442.583,1.988,90.0,specific
dynamic,1000,3000,1,38666.110,1.000,100.0,specific
dynamic,1000,5000,64,4600.668,13.928,20.0,specific
dynamic,1000,5000,32,4593.936,13.949,40.0,specific
dynamic,1000,5000,24,4590.205,13.960,50.0,specific
dynamic,1000,5000,16,5059.800,12.664,70.0,specific
dynamic,1000,5000,8,8223.805,7.792,90.0,specific
dynamic,1000,5000,4,16156.335,3.966,90.0,specific
dynamic,1000,5000,2,32152.770,1.993,90.0,specific
dynamic,1000,5000,1,64075.955,1.000,100.0,specific
guided,1000x1000_1000,1000,1000,680,11.700,18.200,specific
guided,1000x1000_1000,1000,1000,675,11.786,18.400,specific
guided,1000x1000_1000,1000,1000,677,11.751,18.300,specific
guided,1000x1000_1000,1000,1000,672,11.839,36.900,specific
guided,1000x1000_1000,1000,1000,671,11.856,37.000,specific
guided,1000x1000_1000,1000,1000,684,11.631,36.300,specific
guided,1000x1000_1000,1000,1000,675,11.786,49.100,specific
guided,1000x1000_1000,1000,1000,690,11.530,48.000,specific
guided,1000x1000_1000,1000,1000,671,11.856,49.400,specific
guided,1000x1000_1000,1000,1000,788,10.096,63.100,specific
guided,1000x1000_1000,1000,1000,781,10.186,63.600,specific
guided,1000x1000_1000,1000,1000,781,10.186,63.600,specific
guided,1000x1000_1000,1000,1000,1145,6.948,86.800,specific
guided,1000x1000_1000,1000,1000,1156,6.882,86.000,specific
guided,1000x1000_1000,1000,1000,1151,6.912,86.400,specific
guided,1000x1000_1000,1000,1000,2116,3.759,93.900,specific
guided,1000x1000_1000,1000,1000,2126,3.742,93.500,specific
guided,1000x1000_1000,1000,1000,2115,3.761,94.000,specific
guided,1000x1000_1000,1000,1000,4091,1.944,97.200,specific
guided,1000x1000_1000,1000,1000,4092,1.944,97.200,specific
guided,1000x1000_1000,1000,1000,4099,1.940,97.000,specific
guided,1000x1000_1000,1000,1000,7955,1.000,100.000,specific
guided,1000x1000_1000,1000,1000,7965,.998,99.800,specific
guided,1000x1000_1000,1000,1000,8162,.974,97.400,specific
guided,2000x2000_1000,2000,1000,2722,11.667,18.200,specific
guided,2000x2000_1000,2000,1000,2698,11.771,18.300,specific
guided,2000x2000_1000,2000,1000,2702,11.753,18.300,specific
guided,2000x2000_1000,2000,1000,2665,11.917,37.200,specific
guided,2000x2000_1000,2000,1000,2694,11.788,36.800,specific
guided,2000x2000_1000,2000,1000,2690,11.806,36.800,specific
guided,2000x2000_1000,2000,1000,2686,11.823,49.200,specific
guided,2000x2000_1000,2000,1000,2728,11.641,48.500,specific
guided,2000x2000_1000,2000,1000,2712,11.710,48.700,specific
guided,2000x2000_1000,2000,1000,3141,10.111,63.100,specific
guided,2000x2000_1000,2000,1000,3159,10.053,62.800,specific
guided,2000x2000_1000,2000,1000,3141,10.111,63.100,specific
guided,2000x2000_1000,2000,1000,4603,6.899,86.200,specific
guided,2000x2000_1000,2000,1000,4639,6.846,85.500,specific
guided,2000x2000_1000,2000,1000,4607,6.893,86.100,specific
guided,2000x2000_1000,2000,1000,8435,3.765,94.100,specific
guided,2000x2000_1000,2000,1000,8450,3.758,93.900,specific
guided,2000x2000_1000,2000,1000,8449,3.758,93.900,specific
guided,2000x2000_1000,2000,1000,16287,1.949,97.400,specific
guided,2000x2000_1000,2000,1000,16273,1.951,97.500,specific
guided,2000x2000_1000,2000,1000,16294,1.949,97.400,specific
guided,2000x2000_1000,2000,1000,31759,1.000,100.000,specific
guided,2000x2000_1000,2000,1000,31762,.999,99.900,specific
guided,2000x2000_1000,2000,1000,31767,.999,99.900,specific
guided,3000x3000_1000,3000,1000,6060,11.782,18.400,specific
guided,3000x3000_1000,3000,1000,6123,11.661,18.200,specific
guided,3000x3000_1000,3000,1000,6110,11.686,18.200,specific
guided,3000x3000_1000,3000,1000,6076,11.751,36.700,specific
guided,3000x3000_1000,3000,1000,6073,11.757,36.700,specific
guided,3000x3000_1000,3000,1000,6088,11.728,36.600,specific
guided,3000x3000_1000,3000,1000,6108,11.690,48.700,specific
guided,3000x3000_1000,3000,1000,6082,11.740,48.900,specific
guided,3000x3000_1000,3000,1000,6148,11.614,48.300,specific
guided,3000x3000_1000,3000,1000,7070,10.099,63.100,specific
guided,3000x3000_1000,3000,1000,7067,10.103,63.100,specific
guided,3000x3000_1000,3000,1000,7097,10.061,62.800,specific
guided,3000x3000_1000,3000,1000,10332,6.910,86.300,specific
guided,3000x3000_1000,3000,1000,10335,6.908,86.300,specific
guided,3000x3000_1000,3000,1000,10368,6.886,86.000,specific
guided,3000x3000_1000,3000,1000,19007,3.756,93.900,specific
guided,3000x3000_1000,3000,1000,18931,3.771,94.200,specific
guided,3000x3000_1000,3000,1000,18957,3.766,94.100,specific
guided,3000x3000_1000,3000,1000,36587,1.951,97.500,specific
guided,3000x3000_1000,3000,1000,36606,1.950,97.500,specific
guided,3000x3000_1000,3000,1000,36589,1.951,97.500,specific
guided,3000x3000_1000,3000,1000,71411,.999,99.900,specific
guided,3000x3000_1000,3000,1000,71391,1.000,100.000,specific
guided,3000x3000_1000,3000,1000,71398,1.000,100.000,specific
guided,1000x1000_3000,1000,3000,1752,13.090,20.400,specific
guided,1000x1000_3000,1000,3000,1742,13.165,20.500,specific
guided,1000x1000_3000,1000,3000,1728,13.271,20.700,specific
guided,1000x1000_3000,1000,3000,1732,13.241,41.300,specific
guided,1000x1000_3000,1000,3000,1724,13.302,41.500,specific
guided,1000x1000_3000,1000,3000,1725,13.295,41.500,specific
guided,1000x1000_3000,1000,3000,1734,13.226,55.100,specific
guided,1000x1000_3000,1000,3000,1720,13.333,55.500,specific
guided,1000x1000_3000,1000,3000,1714,13.380,55.700,specific
guided,1000x1000_3000,1000,3000,1971,11.635,72.700,specific
guided,1000x1000_3000,1000,3000,1952,11.748,73.400,specific
guided,1000x1000_3000,1000,3000,1942,11.809,73.800,specific
guided,1000x1000_3000,1000,3000,3043,7.536,94.200,specific
guided,1000x1000_3000,1000,3000,3064,7.484,93.500,specific
guided,1000x1000_3000,1000,3000,3033,7.561,94.500,specific
guided,1000x1000_3000,1000,3000,5854,3.917,97.900,specific
guided,1000x1000_3000,1000,3000,5860,3.913,97.800,specific
guided,1000x1000_3000,1000,3000,5855,3.916,97.900,specific
guided,1000x1000_3000,1000,3000,11564,1.983,99.100,specific
guided,1000x1000_3000,1000,3000,11569,1.982,99.100,specific
guided,1000x1000_3000,1000,3000,11578,1.980,99.000,specific
guided,1000x1000_3000,1000,3000,22939,.999,99.900,specific
guided,1000x1000_3000,1000,3000,22937,.999,99.900,specific
guided,1000x1000_3000,1000,3000,23400,.980,98.000,specific
guided,1000x1000_5000,1000,5000,2797,13.548,21.100,specific
guided,1000x1000_5000,1000,5000,2792,13.572,21.200,specific
guided,1000x1000_5000,1000,5000,2799,13.538,21.100,specific
guided,1000x1000_5000,1000,5000,2774,13.660,42.600,specific
guided,1000x1000_5000,1000,5000,2837,13.357,41.700,specific
guided,1000x1000_5000,1000,5000,2780,13.630,42.500,specific
guided,1000x1000_5000,1000,5000,2830,13.390,55.700,specific
guided,1000x1000_5000,1000,5000,2772,13.670,56.900,specific
guided,1000x1000_5000,1000,5000,2817,13.451,56.000,specific
guided,1000x1000_5000,1000,5000,3131,12.102,75.600,specific
guided,1000x1000_5000,1000,5000,3113,12.172,76.000,specific
guided,1000x1000_5000,1000,5000,3135,12.087,75.500,specific
guided,1000x1000_5000,1000,5000,4962,7.636,95.400,specific
guided,1000x1000_5000,1000,5000,4945,7.663,95.700,specific
guided,1000x1000_5000,1000,5000,4979,7.610,95.100,specific
guided,1000x1000_5000,1000,5000,9600,3.947,98.600,specific
guided,1000x1000_5000,1000,5000,9585,3.953,98.800,specific
guided,1000x1000_5000,1000,5000,9596,3.948,98.700,specific
guided,1000x1000_5000,1000,5000,19052,1.988,99.400,specific
guided,1000x1000_5000,1000,5000,19045,1.989,99.400,specific
guided,1000x1000_5000,1000,5000,19185,1.975,98.700,specific
guided,1000x1000_5000,1000,5000,38209,.991,99.100,specific
guided,1000x1000_5000,1000,5000,37890,1.000,100.000,specific
guided,1000x1000_5000,1000,5000,37901,.999,99.900,specific
